uei,recipient_name,city,state_code,openalex_id,ror,openalex_name,similarity
GM6EL1UH2L83,MONTEREY BAY AQUARIUM RESEARCH INSTITUTE,MOSS LANDING,CA,https://openalex.org/I1319261023,https://ror.org/02nb3aq72,Monterey Bay Aquarium Research Institute,1.0
GMR5T8P487D7,"THE NEW YORK STRUCTURAL BIOLOGY CENTER, INC.",NEW YORK,NY,https://openalex.org/I4210096322,https://ror.org/00new7409,New York Structural Biology Center,0.873
GNJ7BBP73WE9,REGENTS OF THE UNIVERSITY OF MICHIGAN,ANN ARBOR,MI,https://openalex.org/I27837315,https://ror.org/00jmfr291,University of Michigan,1.0
GS3YEVSS12N6,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",BERKELEY,CA,https://openalex.org/I2803209242,https://ror.org/00pjdza24,University of California System,1.0
GSLCJ3M62XX1,"TERC, INC.",CAMBRIDGE,MA,https://openalex.org/I4405258510,https://ror.org/00sc77p73,New England Regional Headache Center,0.537
GT28BRBA2Q49,NATIONAL BUREAU OF ECONOMIC RESEARCH INC,CAMBRIDGE,MA,https://openalex.org/I1321305853,https://ror.org/04grmx538,National Bureau of Economic Research,1.0
GTNBNWXJ12D5,VANDERBILT UNIVERSITY,NASHVILLE,TN,https://openalex.org/I200719446,https://ror.org/02vm5rt34,Vanderbilt University,1.0
GV31TMFLPY88,COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NY,https://openalex.org/I2750212522,https://ror.org/02qz8b764,Cold Spring Harbor Laboratory,1.0
GY8NMUZQXVS7,UNIVERSITY OF OKLAHOMA,OKLAHOMA CITY,OK,https://openalex.org/I8692664,https://ror.org/02aqsxs83,University of Oklahoma,1.0
GYLUH9UXHDX5,VANDERBILT UNIVERSITY MEDICAL CENTER,NASHVILLE,TN,https://openalex.org/I901861585,https://ror.org/05dq2gs74,Vanderbilt University Medical Center,1.0
GZRNJ1GZDBM1,UNIVERSITY OF PUERTO RICO,MAYAGUEZ,PR,https://openalex.org/I200399037,https://ror.org/02yg0nm07,University of Puerto Rico System,1.0
H1HYA8Z1NTM5,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",LEXINGTON,KY,https://openalex.org/I143302722,https://ror.org/02k3smh20,University of Kentucky,0.723
H1TYS4PK8EC5,FATHER FLANAGAN'S BOYS' HOME,BOYS TOWN,NE,https://openalex.org/I1307497284,https://ror.org/03ebg0v16,Boys Town,1.0
H2BMNX7DSKU8,CLEMSON UNIVERSITY,CLEMSON,SC,https://openalex.org/I8078737,https://ror.org/037s24f05,Clemson University,1.0
H4CAHK2RD945,PORTLAND STATE UNIVERSITY,PORTLAND,OR,https://openalex.org/I126345244,https://ror.org/00yn2fy02,Portland State University,1.0
H4VNDUN2VWU5,AMERICAN UNIVERSITY,WASHINGTON,DC,https://openalex.org/I181401687,https://ror.org/052w4zt36,American University,1.0
H58TR2D7DNE3,PALO ALTO VETERANS INSTITUTE FOR RESEARCH,PALO ALTO,CA,https://openalex.org/I4210089390,https://ror.org/008e03r59,Palo Alto Veterans Institute for Research,1.0
H59JKGFZKHL7,SAN DIEGO STATE UNIVERSITY FOUNDATION,SAN DIEGO,CA,https://openalex.org/I26538001,https://ror.org/0264fdx42,San Diego State University,1.0
H5G9NWEFHXN4,"THE BROAD INSTITUTE, INC",CAMBRIDGE,MA,https://openalex.org/I107606265,https://ror.org/05a0ya142,Broad Institute,1.0
H65GNDPBTRY7,HEALTHPARTNERS INSTITUTE,MINNEAPOLIS,MN,https://openalex.org/I52792670,https://ror.org/03s9ada67,HealthPartners,0.595
H6D6JMXJXDE6,UNIVERSITY OF CONNECTICUT HEALTH CENTER,FARMINGTON,CT,https://openalex.org/I75929689,https://ror.org/02kzs4y22,UConn Health,1.0
H6N1ZF5HJ2G3,ALBERT EINSTEIN COLLEGE OF MEDICINE,BRONX,NY,https://openalex.org/I129975664,https://ror.org/05cf8a891,Albert Einstein College of Medicine,1.0
