uei,lat,lon
VDFYLZPJEAV6,34.74648,-92.28959
E8VWJXMMUQ67,43.03889846801758,-87.9064712524414
LXHMMWRKN5N8,39.32924,-82.10126
WWH4L4GKKW58,42.371376037597656,-71.21891021728516
MR5QC5FCAVH5,33.95335,-117.39616
VL5FH97BNMH5,21.30694007873535,-157.85833740234375
LL8GLEVH6MG3,40.76078,-111.89105
C1F5LNUF7W86,42.41843,-71.10616
M5SZJ6VHUHN8,40.71427,-74.00597
NPM2J7MSCF61,40.79339,-77.86
ECQEYCHRNKJ4,30.44332,-91.18747
EAL3QNJK3CB9,42.68684005737305,-73.72928619384766
W8XEAJDKMXH3,40.11059,-88.20727
FBYMGMHW4X95,42.35843,-71.05977
NSCKLFSSABF2,21.30694007873535,-157.85833740234375
CGCDJ24JJLZ1,42.35843,-71.05977
E3FDXZ6TBHW3,41.82399,-71.41283
D33QGS3Q3DJ3,32.783058166503906,-96.80667114257812
WK63UJ11C2H7,41.07482147216797,-73.77513122558594
YZJ6DKPM4W63,32.78306,-96.80667
C5LHMPRJ9J19,40.79787826538086,-73.69956970214844
DVHKP4N619V9,27.94752,-82.45843
S352L5PJLMP8,33.749000549316406,-84.38797760009766
PKFJZHG2MLG9,38.89302062988281,-77.04774475097656
NNFQH1JAPEP3,29.65163,-82.32483
R28EKN92ZTZ9,42.73698,-84.48387
JJHCMK4NT5N3,35.9940299987793,-78.89862060546875
WMHWCFJNAJL3,38.107421875,-122.5697021484375
G88KLJR3KYT5,34.05223,-118.24368
NKAZLXLL7Z91,27.94752,-82.45843
NPT2UNTNHJZ1,39.758949279785156,-84.19161224365234
NJH3YBU1VHB7,37.804405212402344,-122.27519226074219
SMK9PCMKXED6,47.62245178222656,-122.33670806884766
JGA3E25MFDV9,33.75077819824219,-84.40684509277344
NPU8ULVAAS23,38.98067,-76.93692
V5LLVC627U34,36.31344,-82.35347
H4CAHK2RD945,45.5234489440918,-122.67620849609375
R9NXPE2GTCN9,42.33142852783203,-83.0457534790039
E4Z2NUYUMHF9,33.57786178588867,-101.85517120361328
UUUMQVGJNNX1,42.358428955078125,-71.05976867675781
W1NBN156CYF9,38.89511,-77.03637
F27KDXZMF9Y8,43.15478,-77.61556
DLWBSLWAJWR1,39.96118,-82.99879
RNKYWXURFRL5,39.29037857055664,-76.61219024658203
NJZEFMRACCH9,37.7823486328125,-122.50485229492188
NTXJM52SHKS7,33.45049,-88.81961
ED44Y3W6P7B9,32.22174,-110.92648
UYTTZT6G9DT1,32.71571,-117.16472
DMDEQP66JL85,39.70288848876953,-75.1118392944336
LCLSJAGTNZQ7,43.07305,-89.40123
PFBDNBDS57H3,33.926387786865234,-118.24173736572266
Z1L9F1MM1RY3,42.35843,-71.05977
ULMJJBL7ZXX3,33.50920867919922,-111.89903259277344
H6D6JMXJXDE6,41.71982,-72.83204
