uei,fiscal_year,paper_count,award_count
C8H9CNG1VBD9,2020,1614,739
C8H9CNG1VBD9,2021,1853,835
C8H9CNG1VBD9,2022,1714,840
C8H9CNG1VBD9,2023,1760,929
C8H9CNG1VBD9,2024,1825,938
C8H9CNG1VBD9,2025,1858,961
C8L8WEU3TE85,2017,1,1
C8L8WEU3TE85,2018,1,1
C8L8WEU3TE85,2020,2,2
C8L8WEU3TE85,2021,3,2
C8L8WEU3TE85,2022,2,3
C8L8WEU3TE85,2024,4,2
C8L8WEU3TE85,2025,2,1
C8YHSBH5VWL3,2022,2,2
C8YHSBH5VWL3,2023,3,2
C8YHSBH5VWL3,2024,7,2
C8YHSBH5VWL3,2025,4,2
C9ABMKQ87S75,2016,23,1
C9ABMKQ87S75,2017,13,2
C9ABMKQ87S75,2018,5,2
C9ABMKQ87S75,2019,12,2
C9ABMKQ87S75,2020,4,2
C9ABMKQ87S75,2021,14,2
C9ABMKQ87S75,2022,4,2
C9ABMKQ87S75,2023,7,2
C9ABMKQ87S75,2024,3,1
C9ABMKQ87S75,2025,2,1
C9B4SHYK5GJ1,2017,3,1
C9B4SHYK5GJ1,2019,4,2
C9B4SHYK5GJ1,2020,2,2
C9B4SHYK5GJ1,2021,2,1
C9B4SHYK5GJ1,2022,4,2
C9B4SHYK5GJ1,2023,4,2
C9FZMJCTQFP4,2016,1,2
C9FZMJCTQFP4,2018,1,2
C9FZMJCTQFP4,2019,2,4
C9K2L9U9BKF9,2017,1,1
C9MRZK4B7K39,2016,7,2
C9MRZK4B7K39,2017,4,2
C9MRZK4B7K39,2018,4,2
C9MRZK4B7K39,2019,4,2
C9MRZK4B7K39,2020,10,3
C9MRZK4B7K39,2021,7,3
C9MRZK4B7K39,2022,9,7
C9MRZK4B7K39,2023,8,8
C9MRZK4B7K39,2024,12,9
C9MRZK4B7K39,2025,6,5
CA1RNRESAZU6,2020,4,1
CA1RNRESAZU6,2021,3,1
CA1RNRESAZU6,2022,2,1
CA1RNRESAZU6,2023,1,1
CA1RNRESAZU6,2024,1,1
CA1RNRESAZU6,2025,1,1
CA5GQKREPCE4,2024,1,1
CA5GQKREPCE4,2025,1,1
CAAGN783MMF1,2016,1,4
CAAGN783MMF1,2017,2,3
CAAGN783MMF1,2018,1,3
CAAGN783MMF1,2019,2,4
CAAGN783MMF1,2021,2,1
CAAGN783MMF1,2023,1,1
CAAGN783MMF1,2024,1,1
CAJZKXCNUDN1,2019,1,1
CAJZKXCNUDN1,2022,1,1
CANEX2TRDPU9,2016,1,1
CANSDRLH1FD7,2022,1,1
CATLLUJNR7W4,2021,1,1
CATLLUJNR7W4,2024,2,2
CATLLUJNR7W4,2025,1,1
CB51JKUFWA27,2023,1,1
CB8BA7Y4NSL1,2016,4,1
CB8BA7Y4NSL1,2017,3,1
CB8BA7Y4NSL1,2018,1,1
CB8BA7Y4NSL1,2019,2,1
CB8BA7Y4NSL1,2020,4,1
CB8BA7Y4NSL1,2021,3,1
CB8BA7Y4NSL1,2022,4,1
CBEFU6C67HK6,2017,1,2
CBEMLJBKLZB4,2016,1,1
CBEMLJBKLZB4,2017,1,1
CBEMLJBKLZB4,2018,1,1
CBEMLJBKLZB4,2019,1,1
CBEMLJBKLZB4,2020,1,1
CBEMLJBKLZB4,2021,1,1
CBKYNSMGNDD5,2021,1,1
CBKYNSMGNDD5,2022,1,1
CBKYNSMGNDD5,2023,1,1
CBKYNSMGNDD5,2025,1,1
CBUHNWQD7TM8,2019,1,1
CBUHNWQD7TM8,2020,4,1
CBUHNWQD7TM8,2021,2,1
CBUHNWQD7TM8,2022,1,1
CBULAJJVC6A7,2025,4,1
CC3QRDB7EYX7,2016,1,1
CC3QRDB7EYX7,2017,3,1
CC3QRDB7EYX7,2018,1,1
CC3QRDB7EYX7,2019,1,1
CC3QRDB7EYX7,2020,1,1
CC3QRDB7EYX7,2021,1,1
CC3QRDB7EYX7,2022,2,2
CC75K29RDV48,2021,1,1
CC78FD4FHVN1,2019,2,1
CC78FD4FHVN1,2020,1,1
CC78FD4FHVN1,2021,3,1
CC78FD4FHVN1,2022,3,1
CC78FD4FHVN1,2023,3,1
CCKFL5P2M9X3,2016,1,1
CCKFL5P2M9X3,2018,1,2
CCKFL5P2M9X3,2022,1,2
CD43MSX5VM25,2023,1,2
CDAQNZCL6287,2016,6,4
CDAQNZCL6287,2017,9,5
CDAQNZCL6287,2018,7,5
CDAQNZCL6287,2019,8,5
CDAQNZCL6287,2020,12,7
CDAQNZCL6287,2021,5,5
CDAQNZCL6287,2022,13,6
CDAQNZCL6287,2023,6,5
CDAQNZCL6287,2024,10,5
CDAQNZCL6287,2025,6,4
CDENBM2B9K63,2024,1,1
CDL6HGNN8X17,2024,1,1
CDQ7RHKMN5G7,2018,2,2
CDQ7RHKMN5G7,2019,2,2
CDQ7RHKMN5G7,2021,2,3
CDQ7RHKMN5G7,2022,1,2
CDQ7RHKMN5G7,2023,1,2
CDQ7RHKMN5G7,2024,2,2
CDQ7RHKMN5G7,2025,2,2
CDYJEMPD5TF5,2016,1,1
CDYJEMPD5TF5,2017,7,1
CDYJEMPD5TF5,2020,1,1
CDYJEMPD5TF5,2021,1,1
CDZJAJJHJMH5,2016,4,3
CDZJAJJHJMH5,2017,10,4
CDZJAJJHJMH5,2018,6,4
CDZJAJJHJMH5,2019,3,3
CDZJAJJHJMH5,2020,6,4
CDZJAJJHJMH5,2021,8,5
CDZJAJJHJMH5,2022,6,5
CDZJAJJHJMH5,2023,5,4
CDZJAJJHJMH5,2024,3,2
CDZJAJJHJMH5,2025,6,5
CE7GMNET8B93,2016,1,1
CE84JRL2B796,2024,1,1
CE84JRL2B796,2025,1,1
CEF5ULT44LF5,2017,1,1
CEF5ULT44LF5,2018,1,1
CEGGMZ4BA4D9,2018,1,1
CEGGMZ4BA4D9,2022,1,1
CEGGMZ4BA4D9,2024,1,1
CEJ1F2GR2D25,2020,3,1
CEJ1F2GR2D25,2021,2,1
CER1EMNQ1663,2017,1,1
CER1EMNQ1663,2018,2,2
CER1EMNQ1663,2022,1,1
CER1EMNQ1663,2023,2,2
CER1EMNQ1663,2024,1,1
CFK3C7X7HX23,2018,1,1
CFK3C7X7HX23,2019,1,1
CFK3C7X7HX23,2020,3,1
CFK3C7X7HX23,2024,1,1
CFMMM5JM7HJ9,2016,59,31
CFMMM5JM7HJ9,2017,62,35
CFMMM5JM7HJ9,2018,62,36
CFMMM5JM7HJ9,2019,58,40
CFMMM5JM7HJ9,2020,78,52
CFMMM5JM7HJ9,2021,106,45
CFMMM5JM7HJ9,2022,127,51
CFMMM5JM7HJ9,2023,104,43
CFMMM5JM7HJ9,2024,95,46
CFMMM5JM7HJ9,2025,105,39
CFNFM43624X3,2018,1,1
CFNFM43624X3,2019,1,1
CFNFM43624X3,2021,1,1
CFNFM43624X3,2024,1,1
CFNFM43624X3,2025,1,1
CFZ7HKGZN762,2021,1,1
CFZ7HKGZN762,2023,3,2
CFZ7HKGZN762,2024,1,1
CGCDJ24JJLZ1,2016,20,11
CGCDJ24JJLZ1,2017,27,11
CGCDJ24JJLZ1,2018,25,15
CGCDJ24JJLZ1,2019,24,15
CGCDJ24JJLZ1,2020,37,18
CGCDJ24JJLZ1,2021,46,25
CGCDJ24JJLZ1,2022,46,23
CGCDJ24JJLZ1,2023,37,23
CGCDJ24JJLZ1,2024,31,23
CGCDJ24JJLZ1,2025,41,23
CGKMNL6SUY65,2016,3,1
CGKMNL6SUY65,2017,2,3
CGKMNL6SUY65,2018,3,3
CGKMNL6SUY65,2019,1,3
CGKMNL6SUY65,2020,1,2
CGKMNL6SUY65,2021,3,4
CGKMNL6SUY65,2023,2,1
CGKMNL6SUY65,2025,1,1
CHJ8YC513988,2025,1,1
CHPPVKPN2VE1,2016,1,1
CHPPVKPN2VE1,2017,1,1
CHPPVKPN2VE1,2018,2,2
CHPPVKPN2VE1,2019,1,2
CHPPVKPN2VE1,2020,1,2
CHPPVKPN2VE1,2021,1,2
CHPPVKPN2VE1,2022,1,1
CHPPVKPN2VE1,2023,1,2
CHPPVKPN2VE1,2025,1,1
CHTMBNQN8EV5,2017,1,1
CHTMBNQN8EV5,2021,2,2
CJ45LW5J44S3,2017,1,1
CJ45LW5J44S3,2018,1,1
CJ45LW5J44S3,2019,1,1
CJ6GFX2TU3J4,2016,1,1
CJ6GFX2TU3J4,2019,3,1
CJ6GFX2TU3J4,2020,3,1
CJ6GFX2TU3J4,2022,1,1
CJ6GFX2TU3J4,2023,3,1
CJ9KDA6HJMM1,2018,1,1
CJ9KDA6HJMM1,2019,1,1
CJ9KDA6HJMM1,2021,1,1
CJAJYT2KW771,2021,3,1
CJAJYT2KW771,2023,3,3
CJAJYT2KW771,2024,3,1
CJDNG9D14MW7,2016,68,17
CJDNG9D14MW7,2017,78,16
CJDNG9D14MW7,2018,92,26
CJDNG9D14MW7,2019,96,20
CJDNG9D14MW7,2020,108,24
CJDNG9D14MW7,2021,118,30
CJDNG9D14MW7,2022,126,35
CJDNG9D14MW7,2023,130,40
CJDNG9D14MW7,2024,134,47
CJDNG9D14MW7,2025,105,38
CJEGRYCZCKU8,2016,1,1
CJEGRYCZCKU8,2017,1,1
CJEGRYCZCKU8,2018,1,1
CJEGRYCZCKU8,2020,2,1
CJEGRYCZCKU8,2021,4,2
CJEGRYCZCKU8,2023,1,1
CJEGRYCZCKU8,2025,1,1
CJHNQPYZWBA3,2018,1,1
CJJ6DE7APKY6,2021,1,2
CJJ6DE7APKY6,2022,1,2
CJJ6DE7APKY6,2023,4,2
CJJ6DE7APKY6,2024,3,1
CJJ6DE7APKY6,2025,4,1
CJNYDRHT8VM5,2025,2,2
CJUCZL1GQGP7,2020,1,1
CK2GN49V59S4,2016,1,1
CK2GN49V59S4,2017,1,1
CK2GN49V59S4,2019,1,1
CK2GN49V59S4,2020,1,1
CK3KR85CSP23,2025,2,1
CK86X1TB2U91,2018,2,2
CK86X1TB2U91,2023,1,1
CK9CNLPNKLK5,2017,1,1
CK9CNLPNKLK5,2022,2,2
CK9CNLPNKLK5,2023,2,1
CK9CNLPNKLK5,2024,6,4
CK9CNLPNKLK5,2025,3,2
CKBCEK2UWFG7,2020,1,1
CKBCEK2UWFG7,2021,2,1
CKBCEK2UWFG7,2022,5,1
CKBCEK2UWFG7,2023,7,2
CKBCEK2UWFG7,2024,8,2
CKBCEK2UWFG7,2025,2,1
CKDVY4EXD6M9,2019,1,1
CKDWJ7MHU7J1,2016,6,1
CKDWJ7MHU7J1,2017,5,1
CKDWJ7MHU7J1,2018,7,1
CKDWJ7MHU7J1,2019,3,1
CKDWJ7MHU7J1,2020,3,1
CKDWJ7MHU7J1,2021,5,1
CKDWJ7MHU7J1,2023,6,1
CKDWJ7MHU7J1,2024,5,1
CKDWJ7MHU7J1,2025,1,1
CKUTZNUHGRN7,2023,1,1
CL1ZLD6JV3N6,2023,1,1
CL3AK9NLV9J6,2020,1,1
CL3AK9NLV9J6,2024,1,1
CL3AK9NLV9J6,2025,1,1
CL4JBKDVJD55,2022,1,1
CL5MKCJW4LP5,2020,1,1
CL5MKCJW4LP5,2023,1,1
CL6QC9R188Z7,2016,1,1
CL6QC9R188Z7,2020,1,1
CL6QC9R188Z7,2021,2,1
CL7KJX2VFHS9,2016,3,1
CL7KJX2VFHS9,2017,2,1
CL7KJX2VFHS9,2018,2,1
CL7KJX2VFHS9,2020,2,1
CL7KJX2VFHS9,2021,1,1
CL7KJX2VFHS9,2022,2,1
CL7KJX2VFHS9,2024,4,2
CL7KJX2VFHS9,2025,2,2
CL8JHK1LN291,2016,1,1
CL8JHK1LN291,2017,2,2
CL8JHK1LN291,2020,2,2
CL8JHK1LN291,2021,1,1
CL8JHK1LN291,2022,1,1
CL8JHK1LN291,2023,2,2
CL8JHK1LN291,2024,2,2
CL8JHK1LN291,2025,2,2
CLC6REB58U73,2019,1,1
CLC6REB58U73,2021,2,1
CLC6REB58U73,2023,1,1
CLC6REB58U73,2025,1,1
CLDKF42LPRC3,2024,1,1
CLFYGDBZ96B3,2024,1,1
CLFYGDBZ96B3,2025,2,1
CLHCSTHHSX25,2016,1,1
CLHCSTHHSX25,2017,1,1
CLHCSTHHSX25,2018,2,2
CLHCSTHHSX25,2019,1,1
CLHCSTHHSX25,2020,4,4
CLHCSTHHSX25,2021,2,2
CLHCSTHHSX25,2022,1,1
CLHCSTHHSX25,2023,1,1
CLHCSTHHSX25,2024,1,1
CLHCSTHHSX25,2025,1,1
CM2UZ96ZVKS8,2018,1,1
CM2UZ96ZVKS8,2020,1,1
CM2UZ96ZVKS8,2023,1,1
CM2UZ96ZVKS8,2024,1,1
CM3LK9281JS7,2020,1,1
CM3LK9281JS7,2021,1,1
CM3LK9281JS7,2022,1,1
CM3LK9281JS7,2023,1,1
CM4TTRKFCLF9,2019,1,1
CM4TTRKFCLF9,2020,2,2
CM4TTRKFCLF9,2021,1,1
CM4TTRKFCLF9,2022,3,2
CM4TTRKFCLF9,2023,8,5
CM4TTRKFCLF9,2024,6,5
CM4TTRKFCLF9,2025,5,5
CMBEL6LZ4MA5,2016,1,1
CMBEL6LZ4MA5,2017,1,1
CMBEL6LZ4MA5,2018,1,1
CMBEL6LZ4MA5,2021,1,1
CMDJS9LCFAS3,2018,1,1
CMDJS9LCFAS3,2019,1,1
CMNJCKH6LTK6,2016,1,1
CMNJCKH6LTK6,2017,4,2
CMNJCKH6LTK6,2018,3,3
CMNJCKH6LTK6,2019,3,3
CMNJCKH6LTK6,2020,5,2
CMNJCKH6LTK6,2021,4,3
CMNJCKH6LTK6,2022,1,1
CMNJCKH6LTK6,2024,1,1
CMXGBGR1SAK1,2016,1,1
CMXGBGR1SAK1,2017,1,1
CMXGBGR1SAK1,2019,2,1
CMXGBGR1SAK1,2020,1,1
CMXGBGR1SAK1,2022,1,1
CMZSZ5PQH478,2022,1,1
CN4GHCASZP96,2019,2,1
