uei,fiscal_year,works_count,cited_by_count
DLWBSLWAJWR1,2017,11620.0,435827.0
DLWBSLWAJWR1,2018,12157.0,437694.0
DLWBSLWAJWR1,2019,13497.0,359918.0
DLWBSLWAJWR1,2020,14671.0,393353.0
DLWBSLWAJWR1,2021,14885.0,276746.0
DLWBSLWAJWR1,2022,13739.0,215219.0
DLWBSLWAJWR1,2023,14272.0,140125.0
DLWBSLWAJWR1,2024,14879.0,80966.0
DLWBSLWAJWR1,2025,13835.0,28284.0
DLWBSLWAJWR1,2026,6340.0,1094.0
DMDEQP66JL85,2016,500.0,13909.0
DMDEQP66JL85,2017,576.0,15328.0
DMDEQP66JL85,2018,647.0,13364.0
DMDEQP66JL85,2019,714.0,20528.0
DMDEQP66JL85,2020,1285.0,20295.0
DMDEQP66JL85,2021,1056.0,13830.0
DMDEQP66JL85,2022,1131.0,14384.0
DMDEQP66JL85,2023,1315.0,8018.0
DMDEQP66JL85,2024,1474.0,5722.0
DMDEQP66JL85,2025,1324.0,1924.0
DMDEQP66JL85,2026,871.0,76.0
DMQNDJDHTDG4,2016,2355.0,71248.0
DMQNDJDHTDG4,2017,2635.0,74528.0
DMQNDJDHTDG4,2018,2753.0,76245.0
DMQNDJDHTDG4,2019,3076.0,78688.0
DMQNDJDHTDG4,2020,3614.0,75159.0
DMQNDJDHTDG4,2021,3682.0,63195.0
DMQNDJDHTDG4,2022,4057.0,49392.0
DMQNDJDHTDG4,2023,4068.0,34825.0
DMQNDJDHTDG4,2024,4281.0,20967.0
DMQNDJDHTDG4,2025,4843.0,6959.0
DMQNDJDHTDG4,2026,1853.0,286.0
DNZNC466DGR7,2016,834.0,24499.0
DNZNC466DGR7,2017,844.0,22481.0
DNZNC466DGR7,2018,805.0,27460.0
DNZNC466DGR7,2019,869.0,22661.0
DNZNC466DGR7,2020,832.0,20033.0
DNZNC466DGR7,2021,813.0,14776.0
DNZNC466DGR7,2022,813.0,10614.0
DNZNC466DGR7,2023,803.0,7765.0
DNZNC466DGR7,2024,1029.0,5956.0
DNZNC466DGR7,2025,1079.0,2407.0
DNZNC466DGR7,2026,532.0,98.0
DPMGH9MG1X67,2016,3664.0,308809.0
DPMGH9MG1X67,2017,3844.0,312323.0
DPMGH9MG1X67,2018,3883.0,310526.0
DPMGH9MG1X67,2019,4315.0,249540.0
DPMGH9MG1X67,2020,4899.0,274736.0
DPMGH9MG1X67,2021,5071.0,243404.0
DPMGH9MG1X67,2022,5086.0,136128.0
